episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy,coexistence_score
185,-2.3099999999999947,350,0.0,PREY_WIN,1,0,98.79999999999995,0.0,0.0
186,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
187,30.81749999999999,98,0.0,PREDATOR_WIN,0,1,0.0,73.1375000000001,0.0
188,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
189,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
190,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.88,0.0,0.0
191,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
192,-2.149999999999998,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
193,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
194,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
195,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
196,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
197,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
198,-2.2799999999999954,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
199,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
200,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
201,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.18999999999997,0.0,0.0
202,30.28749999999996,70,0.0,PREDATOR_WIN,0,1,0.0,83.18749999999991,0.0
203,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
204,-2.299999999999995,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
205,31.194999999999993,67,0.0,PREDATOR_WIN,0,1,0.0,82.92499999999998,0.0
206,29.492499999999943,103,0.0,PREDATOR_WIN,0,1,0.0,68.2625000000001,0.0
207,-2.8399999999999834,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
208,30.86249999999999,98,0.0,PREDATOR_WIN,0,1,0.0,77.98249999999997,0.0
209,-2.3199999999999945,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
210,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
211,-2.239999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
212,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.45999999999998,0.0,0.0
213,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
214,-2.3199999999999945,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
215,-2.439999999999992,350,0.0,PREY_WIN,1,0,99.60999999999999,0.0,0.0
216,-2.1899999999999973,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
217,-2.4099999999999926,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
218,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
219,-2.3199999999999945,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
220,-2.259999999999996,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
221,-2.249999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
222,-2.3299999999999943,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
223,-2.4599999999999915,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
224,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
225,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
226,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
227,-2.1799999999999975,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
228,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
229,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
230,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
231,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
232,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
233,-2.3699999999999934,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
